Title,Description
"Web Application Developer - Boston, MA 02110 - Indeed.com","Safety Insurance has become one of the leading property and casualty insurance providers in Massachusetts mainly because of our unwavering commitment to independent agents and their customers. Our success is built on a philosophy of offering the highest quality insurance products at competitive rates and providing the best service at all costs. 
Through our supportive career, educational and family policies, we enable our employees to be their best. We respect the balance of work and leisure by offering flexible schedules and a 37.5 hour workweek. Safety employees enjoy a positive environment in our convenient downtown office located in the heart of Boston's financial district. 
Along with our competitive salaries, we offer a comprehensive benefits package including medical and dental insurance, 100% matching 401k retirement plan, 100% tuition reimbursement and much, much more! 
Summary: 
Safety Insurance is looking for a Web Application Developer to help build applications and websites used by coworkers, agents, and policyholders to improve their productivity and quality of life. We solve problems by using our expertise to produce high-quality software and the best possible user experiences, incorporating the latest, most relevant technologies. 
Duties: 
Working with the Web Development team to create new applications to be used internally within the company and externally by Safety business partners, Independent Insurance Agencies and Policyholders. 
Responsible for creating and maintaining application specific database environments. 
Assisting in the management of the test, QA and production web hosting environments. 
Helping to enhance existing applications, troubleshoot production problems, and assist in a wide variety of technical issues. 
Qualifications: 
Computer science, software engineering, or other technology-related undergraduate degree required. Masters degree a plus. 
Proven track record of finding practical technical solutions to business problems.
 Ability to learn quickly, analyze information to make improvements and solve problems. 
3 years of web programming experience, thorough knowledge (3+ years) of JavaScript, HTML, and CSS. Knowledge of Perl, Java, C and C++, jQuery and XML is beneficial.
 Thorough experience in building database driven applications using SQL and working with database management systems such as Microsoft SQL Server and MySQL. 
Knowledge of Apache Web Server operating under Linux. 
Experience building AJAX-based web applications. 
Understanding of web application security methodologies and PKI initiatives, including X.509 Digital Certificates. 
Experience with file versioning tools like CVS and Git."
"UI Front End Software Test Engineer III - Mountain View, CA 94043 - Indeed.com","Johnson Service Group is seeking a Software Test Engineer III for a 6-month contract assignment.
 Interface Engineering is a team of software engineers supporting the integration and interoperability of pharmacy automation products with outside vendor systems. This position is responsible for working with various cross-functional teams to deliver highest quality interfaces. Develop specialized code for each vendor system that our customer partners with. 
 The SDET III is an experienced professional who participates in leading, creating and extending quality practices throughout their products. This person applies their practical and theoretical knowledge from Computer Science and previous experience in Healthcare or a related industry. This person works as part of a team to design and develop effective test strategies and tools as well as maintain the customers current portfolio. You use your knowledge of testing and testability to influence better software design, promote proper engineering practice, bug prevention strategies, testability, accessibility, privacy, and other advanced quality concepts across products. 
 Responsibilities:
 Participate in all test aspects of the product development lifecycle from gathering requirements to functional, system and regression testing. 
 Create and review test cases to maximize potential for automated test execution
 Implement programmatic tests at varying scope (component integration, system integration, performance…) 
 Effectively isolate and analyze defects providing detailed steps and conditions or defect reproduction. 
 Design and implement tools and frameworks to simplify test development, including simulators/mocks and data generators including integration into our CI platform.
 Assess, evaluate, and lead the usage of new tools and testing methodologies
 Provide peer feedback in design and code reviews 
 
 Required Knowledge and Skills: 
 Programming experience in one or more object-oriented languages
 Experience creating automation tests and leveraging test frameworks interfacing with some of the following:
 RESTful services 
 Message Queues 
 Relational Databases 
 Web Applications 
 Understanding of TDD, BDD, and data-driven test practices 
 Experience testing and validating SaaS based solutions at scale. 
 Passionate about mentoring junior engineers.
 A can-do attitude and ability to make a positive impact on our culture 
 Ability to always put the customer first. 
 
 Basic Requirements:
 Bachelor’s degree 
 5+ years’ experience in software engineering 
 3+ Years’ experience with software automation testing: white & black box, functional, and system testing 
 1+ Years' experience with UI test tools 
 
 Preferred Knowledge and Skills: 
 M.S. in Computer Science, Computer Engineering or other engineering fields of study 
 1+ Years' experience in web and native mobile app testing tools 
 1+ Years' experience interfacing with CI/CD tools (Codefresh preferred) 
 1+ Years’ experience in designing end to end test automation for Big Data and Azure Cloud applications
 1+ Years’ experience in cloud technologies like CloudFront, Kubernetes, Docker, VPC, Octopus, etc. 
 1+ Years' experience creating performance and scalability tests using JMeter, BlazeMeter 
 1+ Years’ experience with automation testing of microservices and Restful API's 
 1+ Years’ Healthcare or pharmaceutical experience working with interfaces such as HL7, FHIR. EDI and working with PHI 
 Proficient with Javascipt and C# 
 
 Work Conditions: 
 Office/Remote hybrid environment. 
 Ability to travel 10% of the time. 
 #D800"
"Senior Software Engineer - UI - Telecommute in Multiple Locations - Minneapolis, MN 55431 - Indeed.com","Careers at Rally Health, part of the Optum and UnitedHealth Group family of businesses.  Our mission at Rally® is to empower individuals to take control of their health through personalized, data-driven health care information and recommendations that lead to better outcomes. We leverage our digital platform and leading-edge technology to make health care data accessible wherever and whenever people need it, all while ensuring safety and reliability. Here, you’ll help people find the right doctors, give them a clear breakdown of costs, incentivize them to stay focused on their overall health with daily goals, and help them earn rewards such as discounts on a wide range of goods as well as bonuses for reaching fitness objectives. As part of our Rally® team, you’ll have the opportunity to drive change with an innovative healthcare technology company that is dedicated to creating a culture of healthy living. Help us bring real change to healthcare and you’ll experience what it’s like to do  your life's best work.(sm) 
Join the Engagement team as a Senior Software Engineer focusing on UI where you will build reusable UI components and scalable features that are lightweight and fast for the user. Working within a team comprised of diverse skills, building engaging user interfaces, your work will develop responsive web apps that look and work seamlessly across multiple devices. As part of the Engagement solution, you will report to the Senior Manager of the Rewards team. We recognize that people come from a diverse set of backgrounds and skills and we welcome all to apply. 
Primary Responsibilities: 
 Build extensible and reusable UI components and scalable features that are lightweight and fast for the user 
 Breathe life into static mocks with CSS animations, transitions and visual effects 
 Develop responsive web apps that look and work great across multiple devices 
 Be involved in the software lifecycle, from requirements gathering to development, testing and releasing code 
 Partner with product management and engineering leadership to bring creative technology and solutions to solve healthcare problems 
You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in. 
Required Qualifications: 
 5+ years of industry experience 
 Solid experience with React 
 Experience using RESTful APIs and asynchronous JS 
 Experience with CSS, web browsers, HTTP, cookies, caching, and HTML5 web storage 
 Experience creating accessible web applications (WCAG 2.0 or 508) 
 Good understanding of web performance best practices 
Preferred Qualifications: 
 Experience with modern JS libraries and frameworks like Angular, Vue or React Native 
 Comfortable with Git 
 BS in Computer Science, Engineering or a related technical role or equivalent experience 
Careers with Optum . Here's the idea. We built an entire organization around one giant objective; make health care work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do  your life's best work.(sm) 
Colorado Residents Only: The salary range for Colorado residents is $79,700 to $142,600. Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, UnitedHealth Group offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). No matter where or when you begin a career with UnitedHealth Group, you’ll find a far-reaching choice of benefits and incentives 
Diversity creates a healthier atmosphere: OptumCare is an Equal Employment Opportunity/Affirmative Action employers and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. 
OptumCare is a drug-free workplace. Candidates are required to pass a drug test before beginning employment 
Job Keywords: Senior Software Engineer, UI, Chicago, IL, Minneapolis, MN, Remote, San Francisco, CA, Washington, DC, Telecommute, Telecommuter, WFH, Work From Home"
"Senior Software Developer (Full Stack, C#, .NET, UI, SQL) - Remote - Indeed.com","We are currently seeking a Senior Software Developer for a full-time position. This position can be worked  REMOTE  inside the U.S.  Must be a U.S. Citizen or Green Card Holder. JOB SUMMARY The Senior Software Developer designs, implements and maintains our software products. The ideal candidate embraces all aspects of software development: analysis, development, testing and deployment. You are collaborative and take pride in software craftsmanship. You look for ways to innovate and bring new ideas. RESPONSIBILITIES:  Research, design, implement, and maintain software features through ongoing feature development and by addressing bugs Develop intuitive software Collaborate with user experience designers, product managers and other developers to understand problems, then develop and test solutions in an iterative cycle Analyze and test programs and products before formal launch Develop robust and standards-compliant APIs and web applications Take ownership of daily project needs and communications Manage project tasks, timelines, and communications Contribute and adhere to best practices in software development Participate in code reviews and provide constructive feedback Perform other duties as assigned REQUIREMENTS:  A  minimum of 5 years  of experience in  web or app development Full stack proficiency in C#, API Programming, UI (React/Razor preferred), and SQL Mac based programming skills ( .NET Core 5/Visual Studio  for Mac) Proficient and hands-on with  cloud hosted applications, specifically Azure Proficiency with  Auth0 , and token-based API authentication Strong knowledge of  OAS 3.x API server-side development  and standards Solid understanding of web application development processes, from layout/user interface to middle tier applications to relational database structures Technical expertise in the design, development, coding, testing, and debugging of software Excellent verbal and written communication skills Customer-focused approach to participating in support and bug resolution Advanced problem-solving skills, analytical and detail-oriented Ability to work independently with minimal supervision while achieving benchmarks Must be a U.S. Citizen or Green Card Holder. Please only apply if you have the required skills Must be authorized to work in the U.S. (No sponsorship) Job Type: Full-time Benefits: 401(k) 401(k) matching Dental insurance Health insurance Paid time off Tuition reimbursement Vision insurance Schedule: 8 hour shift Monday to Friday Application Question(s): What is your expected salary (range)? Education: Bachelor's (Preferred) Experience: C#: 5 years (Preferred) API development: 4 years (Preferred) .NET Core: 4 years (Preferred) Azure: 4 years (Preferred) UI: 4 years (Preferred) SQL: 5 years (Preferred) Auth0: 3 years (Preferred) OAS: 3 years (Preferred) Work Location: Remote"
Sr. Angular Developer - Remote - Indeed.com,"Must-haves  - 6+ years experience in Angular development (currently using Angular9) - 2+ years experience in Java/Springboot development (currently using Java11; role is 70-30 Frontend) - Manual UI testing experience (currently using Postman) - CSS & JQuery experience Plusses - Adobe Manager - AWS cloud experience - Experience using Selenium - Experience in Lead role Day-to-Day One of our clients in the Salt Lake City, Utah area is looking for an Sr. Angular Developer (Angular9) with a background in Java (Java11) coding to join their Software Development team. The Developer will be mainly focused on the development of an enrollment application (phase 1 of the application) and working with 3-4 other development teams as the application moves through the production process. The Sr. Developer will be responsible for their own (manual) UI testing) and will need to assist the backend developers as needed. The application will be deployed into an AWS Cloud environment. Job Type: Full-time Pay: Up to $130,000.00 per year Benefits: 401(k) Dental insurance Health insurance Paid time off Parental leave Tuition reimbursement Vision insurance Schedule: 8 hour shift Monday to Friday Experience: Front-end development: 5 years (Preferred) Spring Boot: 2 years (Required) Angular: 4 years (Required) Work Location: Remote"
"React Developer - Boulder, CO - Indeed.com","We are seeking a React Developer to join our client remotely for an full time PERM engagement. We're looking for candidates with the following skillset and experience to fill the role.
 
Requirements
 
3+ years of experience developing React applications
 Working with React at production scale
 
You are also
 
Driven to create and maintain stable, re-usable interfaces in collaboration with our UX designers
 Proficient in writing excellent documentation to guide our partners, development and support teams.
 Excited to mentor junior developers in good development practices for clean code and reliable software. Someone that has empathy for others and enjoys helping them when they are stuck.
 Familiar with functional design patterns
 Passionate about the craft of programming, taking the time to think through hard problems and using your tools to develop reliable and maintainable software.
 Eager to maintain a robust CI/CD tooling, processes, testing and procedures.
 Willing to take ownership of different sections of the application, becoming the go-to person on the team for all aspects of it, from planning and stories to QA and support questions.
 
 What we use: 
React
 Ruby on Rails
 Typescript
 React Native
 Material UI
 Postgres
 ElasticSearch
 Heroku and AWS
 
Skills
 
Functional React
 Hooks
 Typescript
 Redux
 React Testing Library
 Restful API Integration
 
Skills (Nice to Have)
 
Material UI
 Websockets
 React Native
 Cypress
 Design System Development
 Web Scraping
 
Does this sound like you? Apply today!
 
 Employer Details: 
Onward Search is an equal opportunity employer, dedicated to a policy of non-discrimination in an employment with regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, veteran status or any other classification protected by federal, state and local laws and ordinances. Candidates must be at least 18 years old to be considered for employment. EOE/M/F/D/V/SO.
 In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.
 Onward Search offers medical, dental, vision benefits, as well as a 401k program, for all eligible full time temporary assignments.
 Onward Search is unable to support 1099 / Corp-to-Corp or Independent Contractor arrangements at this time. All freelancers will be paid as W2 employees.
 Onward Search is a drug-free workplace."
"Sr. Software Developer (Java, JavaScript, AWS) (Remote) - Carmel, IN 46032 - Indeed.com","About Our Team:
 The AFC Business Technology (BT) team is responsible for delivering software necessary to bring technology products to the business and its customers, enabling them to run more efficiently. The Development teams are self-managed scrum teams responsible for the design, coding, unit testing, and implementation of new functionality, and responsible for the maintenance of existing applications.
 About Our Candidate:
 Do you love cars, technology, and data? Are you an innovative and passionate Product Engineer who enjoys developing solutions to the most exciting and complex business challenges? Are you skilled at JavaScript, AWS, Java, Angular, SQL, or have experience implementing web services and APIs? Do you enjoy the highly collaborative nature of working in an agile/scrum environment? 
 
We are searching for a talented Sr. Product Engineer to join the AFC IT team and be on the front lines of developing solutions and products in the automotive remarketing industry. The right candidate is someone who can be handed critical projects and help shape future processes and best practices. The purpose of this candidate is to play an integral role in a team responsible for the architecture, design, development, testing, and delivery for our rapidly expanding business.
 What You Will Be Doing:
 Participate in all Scaled Agile Framework (SAFe®) program increment and sprint related events
 Accept and complete programming tasks for new development, testing, requirements definition, or maintenance to existing applications
 Reviews or writes code, leads programming and testing and debugging of software development projects
 Creates protocols, documentation, and tools for the installation and maintenance of software projects
 Exercises judgment in selecting methods and techniques to resolve issues
 Identifies problems and opportunities and champions the development of innovative solutions.
 Mentors junior software developers and engineers
 Set a good personal example of positive attitude and performance
 Ensure proper follow-through on all directives, bulletins, and schedules from the Corporate Office, Scrum Master, and Product Owner
 What You Need to Be Successful:
 Primary Programming Language (JavaScript, Node.js, Java, TypeScript, Java EE, Oracle PL/SQL)
 Modern web technologies (JavaScript, Angular, Spring, jQuery)
 Coding best practices (Git, Azure DevOps), functional programming, IDEs (VSCode, Eclipse, RAD), testing methodologies (Junit, Jasmine, etc.)
 Cloud-based development on AWS especially building APIs with Lambda, DynamoDB and other serverless technologies
 Oracle Database – PL/SQL. Also experience with Oracle Forms and Reports, Oracle EBS is a plus
 Five (5) years minimum experience with Object Oriented design, Oracle application development, and development of Java-based mission-critical applications
 Strong problem-solving skills and creativity with a desire to learn new emerging technologies
 Bachelor’s Degree or equivalent preferred
 Who We Are:
 Automotive Finance Corporation (AFC), a KAR Global brand, was created to provide inventory financing for independent car dealers as they bought and sold vehicles at auto auctions and dealerships. With more than 120 branch locations throughout the U.S. and Canada, AFC works with over 15,000 dealers in the retail and wholesale automotive space as well as RV, power sports and commercial truck dealers, salvage buyers, and daily rental operators and is accepted as a form of dealer payment at more than 1,100 auction sources in the same footprint.
 AFC is staffed with local industry experts across North America to provide dealers with the right floorplan for their business model, thereby freeing up their cash flow and conquering their unique market. By utilizing the robust online suite of tools through AFCDealer.com®, dealers are empowered to do business the way they want—on the lot, in the lanes, or on the go.
 AFC’s business philosophy is supported by their purpose statement: “We fuel the entrepreneurial dream in our community.” Whether it’s supporting a dealer and their growing business or helping an employee find a meaningful career path, AFC is dedicated to the dream.
 We want you to be well and thrive. Our benefits package includes:
 Competitive compensation
 Insurance coverage that includes medical, dental, vision, and life insurance
 Flexible spending account
 Wellness program
 401(k) with employer match
 Employee stock purchase program
 Paid holidays and generous paid time off
 Paid parental leave
 Learning and development resources
 #techjobs | #LI-TECHJOBS1"
"Front End Software Engineer - Portland, OR - Indeed.com","Job ID:  53797
 Software Engineer (Angular) 
We are looking for a full-time Software Engineer to join our team. In this role, you will help deliver our vision by implementing feature functionality in our front end applications. Youll drive development best practices in our Angular and Flutter code bases and mentor other team members along the way. Your passion for crafting compelling customer experiences will allow you to thrive in this role. 
 
 Software Engineer (Angular) Responsibilities 
Design, develop, implement, and test Web applications using Angular. 
Contribute new ideas for feature and user experience enhancements. 
Collaborate with product management, architecture, and your cross-functional peers. 
Create a culture where teamwork is valued and risk taking is rewarded. 
 
 Software Engineer (Angular) Qualifications 
2+ years experience with Angular web applications. 
A passion for beautiful and intuitive UX. 
Experience working on an Agile team delivering changes to production many times per day. 
Experience using Git or other similar version control system. 
Experience implementing and consuming REST and Graph APIs. 
Some mobile development experience is prefered. 
 
About VanderHouwen 
VanderHouwen is an award-winning, Women-Owned, WBENC certified professional staffing firm. Founded in 1987, VanderHouwen has been successfully placing experienced professionals throughout the Pacific Northwest and nationwide. Our recruitment teams are highly specialized in either Technology and IT, Engineering, or Accounting and Finance career markets. Our recruiters value building meaningful, professional relationships with each candidate as well as developing honed knowledge of companies' staffing needs and workplaces. Partner with us to land your next exciting career. 
 
VanderHouwen is an Equal Opportunity Employer and participates in E-Verify. VanderHouwen does not discriminate on the basis of race, color, religion, sex, national origin, age, disability, or any other characteristic protected by applicable local, state or federal civil rights laws."
"Web & Automation Developer/ Engineer - Springfield, VA - Indeed.com","Peraton Overview 
 
 Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the worlds leading mission capability integrator and transformative enterprise IT provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. Peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local markets. Every day, our employees do the cant be done, solving the most daunting challenges facing our customers. 
 
 Responsibilities 
 
 Seeking a WEB DEVELOPER who will develop custom programs for web sites that will attract and appeal to users, and provide desired information. Creates web applications and components from the requirements stage, through design, through production deployment. Possesses a thorough knowledge of programming and server software operations. Develops new Web applications through packaged and customized applications. Creates Web front-end user interface to new or existing databases using a combination of HTML, SQL, C, VB, Java, JavaScript, ColdFusion or other languages to make business applications accessible. Designs and implements user-driven templates using modern Javascript frameworks like Angular or ReactJS, databases and interfaces for ease of use. Develops database-driven Web interfaces for rapid, real-time information sharing. Develops external Web portals allowing users to input and retrieve accurate information. Experienced in graphics, layout, scripting, programming, as well as development involving compatibility and seamless integration with various technologies such as Java and ColdFusion. Engage as part of team that utilizes an agile scrum delivery model. Develop loosely coupled Application Programming Interfaces (APIs) to expose data to multiple consumer types. 
 
 Qualifications 
 
 Years of Experience and Education: 11-14 Years with High School, 5-8 Years with BS/BA, or 3-6 Years with MS/MA.
 Qualified candidates will be a career level individual with a complete understanding and wide application of technical principles, theories, and concepts. This person will be considered an emerging authority who applies extensive technical expertise and be able to work under only general direction, developing technical solutions to a wide range of difficult problems. This person will need to be able to work independently to determine and develop approaches to solutions and be able to exercise latitude in determining objectives and approaches to assignment. 
Desired qualifications include the ability to: 
Adhere to prescribed processes and guidelines for web development workstations and the development environment to include: requesting approval for software download/installation, software configuration, and software version control. 
Manage and maintain content for a web presence on three domains (internal facing web page and documents, external facing web-page and documents) to include site design, content updates, collecting web metrics, and supporting access by external customers. 
Participate in the development of a consolidated business process, integrating and replacing the current project management capabilities; provide installation, customization, support, maintenance, license updates, and monitoring of the consolidated business web presence after implementation. 
Incorporate automated and manual test management capabilities that identify, standardize and import test objectives, test procedures, test plans, test documentation, releases and cycles structure, and design of overall and low level process flows. 
Provide database design, development and maintenance (Oracle, PostGRSQL, or other as specified) for Test related web projects."
"React.js Developer - Billings, MT - Indeed.com","At least 3 years experience in ReactJS framework
 
Must have worked in customer-facing applications in the past
 
Able to develop new features and reusable components in react for large scalable customer-facing applications
 
Very good understanding of React.js and its core principles
 
Strong skills in web core components such as HTML, CSS, and Javascript frameworks.
 
Experience with popular React.js state managers such as Redux
 
Nice to have React Native app building experience
 
Proven skills in implementing user experience flow in web applications
 
Ability to build the frontend from API-driven microservice-based backend.
 
Knowledge of react native development on mobile is a plus
 
Experience in Photoshop or similar design tools is an added advantage
 
Best Regards.
 Stuart."
